quarter,NHCCI,NHCCI-Seasonally-Adjusted,grp9-pct-change-Grading-Excavation,grp9-pct-change-Bridge,grp9-pct-change-Asphalt,grp9-pct-change-Concrete,grp9-pct-change-Base-Stone,grp9-pct-change-Drainage,grp9-pct-change-Traffic-Control,grp9-pct-change-Electrical,grp9-pct-change-Utilities-erosion-control-clearing-painting-and-equipment,grp13-pct-change-Grading-Excavation,grp13-pct-change-Bridge,grp13-pct-change-Asphalt,grp13-pct-change-Concrete,grp13-pct-change-Base-Stone,grp13-pct-change-Drainage,grp13-pct-change-Traffic-Control,grp13-pct-change-Erosion-Control,grp13-pct-change-Clearing,grp13-pct-change-Electrical,grp13-pct-change-Structures,grp13-pct-change-Utility,grp13-pct-change-Equipment,grp25-pct-change-Grading-Excavation,grp25-pct-change-Bridge,grp25-pct-change-Asphalt,grp25-pct-change-Concrete_Pavement,grp25-pct-change-Concrete-Misc,grp25-pct-change-Concrete-Culvers,grp25-pct-change-Base-Stone,grp25-pct-change-Drainage-Pipe,grp25-pct-change-Drainage-Inlets-Catch-Basins,grp25-pct-change-Underdrain,grp25-pct-change-Traffic-Control,grp25-pct-change-Guard-Rail,grp25-pct-change-Fencing,grp25-pct-change-Signs-Permanent,grp25-pct-change-Striping-Pavement-Marking,grp25-pct-change-Clearing,grp25-pct-change-Equipment-Labor,grp25-pct-change-Grassing,grp25-pct-change-Erosion-Control,grp25-pct-change-Retaining-Wall,grp25-pct-change-Misc-Stone-Riprap,grp25-pct-change-Painting-Structures,grp25-pct-change-Buildings-Misc-Structures,grp25-pct-change-Electrical,grp25-pct-change-Utility
2008 Q1,1.568627,1.574597289,1.994790971,1.607578992,0.371744768,-0.208374022,0.225574765,0.246910491,-0.241276989,-0.030984927,-0.376655894,1.989467223,1.603288645,0.370752646,-0.207817908,0.224972745,0.24625153,-0.240633063,-0.213070808,-0.120150939,-0.030902234,-0.029910894,0.00607129,-0.009010079,1.94080497,1.564072297,0.361684058,-0.171185337,-0.051605849,0.061258215,0.219469925,0.261340725,-0.025173837,0.012584892,0.096128681,-0.118330452,-0.009595406,0.038475217,-0.247137875,-0.117212054,-0.008789693,-0.11685246,-0.004096908,-0.10952256,0.055601056,-0.002478483,-0.015907388,-0.030146367,0.005922787
2008 Q2,1.644059,1.636533651,-0.504760672,0.69299788,3.587488097,0.267472971,0.202065449,-0.246839529,0.430624379,0.073698968,0.306034059,-0.505659839,0.694232368,3.59387875,0.26794944,0.202425403,-0.247279242,0.431391481,0.307666739,-0.033636295,0.073830254,0.086780881,-0.016539804,-0.046258534,-0.50373353,0.691587693,3.580187885,-0.041497463,0.274152931,0.043847689,0.201654264,-0.153015517,-0.055814765,-0.036542699,0.020848729,0.260668924,0.029061258,-0.041747061,0.156888393,-0.033508157,-0.046082313,0.057838175,0.000565827,0.189218082,0.079394522,0.004924917,0.072811619,0.073548998,-0.016476796
2008 Q3,1.784774,1.763112661,0.699093824,1.328476138,6.136464298,-0.0241202,-0.357786944,0.148218598,0.503666142,0.067984394,0.057025696,0.700098957,1.330386175,6.145287092,-0.024154879,-0.358301357,0.148431702,0.504390296,-0.012027337,0.052446534,0.06808214,0.021727649,-0.002617217,-0.014727806,0.696032654,1.322659049,6.109594144,0.113749808,-0.034464052,-0.05928732,-0.356220277,0.096451228,0.028227656,0.024226767,0.082761279,0.145320738,0.072689238,0.053118823,0.141533387,0.052141915,-0.014642264,0.032296766,0.057785731,-0.126196564,0.031977962,0.018001045,0.006179542,0.067686706,-0.002602016
2008 Q4,1.626675,1.670348278,-1.696245519,-2.273753471,-2.047093773,-1.311170045,-0.220991428,-0.419212437,-0.428332962,-0.187887434,-0.273529396,-1.696857034,-2.274573183,-2.047831772,-1.311642736,-0.221071098,-0.419363567,-0.428487381,-0.319798073,-0.010270881,-0.187955169,0.076049196,-0.041428601,0.025013833,-1.696698259,-2.274360352,-2.047640157,-0.799552926,-0.553452669,0.052319045,-0.221050412,-0.278903579,-0.045748731,-0.057803297,-0.148101155,-0.217281306,-0.03581128,-0.038234298,0.03032493,-0.01026992,0.025011493,-0.087320141,-0.11733236,-0.022610043,-0.118830569,0.040625731,-0.006133904,-0.187937582,-0.041424725
2009 Q1,1.49997,1.487617082,-1.641842629,-0.141346583,-3.775315491,-0.637174696,-0.003900708,0.038145567,-0.564825599,-0.072632146,-0.990330451,-1.651971143,-0.142218549,-3.798605383,-0.641105422,-0.003924771,0.038380887,-0.568310004,-0.474601156,-0.464587284,-0.073080213,-0.038724004,0.032404813,-0.002880505,-1.682031456,-0.144806448,-3.867727212,-0.516444414,0.06327735,-0.086046742,-0.003996189,0.10725178,-0.043143731,-0.017932491,-0.255785516,-0.117614668,0.000916715,-0.040112011,-0.138703878,-0.473041209,-0.00293292,-0.085729183,-0.103039545,-0.212980692,-0.080277705,-0.048315376,0.001408362,-0.074410027,0.032994471
2009 Q2,1.439771,1.432577904,-0.138762093,0.45917996,-3.00341872,-0.230182812,-0.344478083,-0.218906051,-0.475657142,-0.041895957,-0.019204489,-0.138876162,0.459557428,-3.005887678,-0.230372034,-0.34476126,-0.219086002,-0.476048155,-0.084641777,0.114467309,-0.041930398,-0.024356179,-0.016999727,-0.004390751,-0.136488263,0.451655592,-2.954203097,-0.027388304,-0.185833954,-0.057922832,-0.338833281,-0.105957982,-0.088869415,-0.021440162,-0.19810136,-0.182042469,-0.015692565,-0.013452416,-0.064363147,0.112499107,-0.004315255,0.015454029,-0.008630884,-0.119525057,0.014112245,-0.032337774,0.00626871,-0.041209428,-0.016707426
2009 Q3,1.429229,1.427538488,-0.780753207,0.344931355,-0.16377866,-0.125968556,-0.051289226,-0.050204384,-0.062129208,-0.019672249,0.176685077,-0.788382191,0.348301787,-0.165378992,-0.127199435,-0.051790389,-0.050694947,-0.062736292,0.175543839,0.013456329,-0.019864472,-0.001018336,-0.008202082,0.005786123,-0.759186731,0.335403435,-0.159254658,0.02806129,-0.140465404,-0.007007572,-0.049872482,-0.071447221,0.02728994,0.001413473,-0.0211388,-0.014700318,-0.020703567,-0.02115919,0.025902085,0.012958013,0.005571851,0.011219873,-0.003876539,0.08493239,0.031216407,-0.001306444,0.000998301,-0.019128849,-0.007898341
2009 Q4,1.402628,1.429876556,-0.457062608,-0.546883674,-0.465617329,-0.024605209,0.047435548,-0.036107272,0.049370087,-0.116473829,-0.311273457,-0.456262099,-0.54592585,-0.464801836,-0.024562115,0.047352468,-0.036044033,0.049283619,-0.277714919,0.017057567,-0.116269834,-0.016038227,-0.016580671,-0.020711813,-0.45742768,-0.547320489,-0.465989234,0.167298901,-0.194192487,0.010816767,0.047473436,0.054293066,-0.058347872,-0.034306842,0.0795566,0.045755411,0.016904901,-0.024410094,-0.058246781,0.017101143,-0.020764724,-0.116088444,-0.050251449,-0.097936387,-0.012956046,0.014418046,-0.043407595,-0.116566861,-0.016623028
2010 Q1,1.441913,1.438907721,0.318065917,0.814248373,1.510022014,0.368555539,0.165924697,-0.054209664,-0.330511206,0.017401819,-0.008720002,0.315081675,0.806608717,1.495854287,0.36509758,0.164367915,-0.053701044,-0.327410196,0.037436581,-0.031242816,0.017238547,-0.017128961,0.039201498,-0.010626295,0.310952685,0.796038506,1.476251851,0.122269642,0.251359967,-0.025144983,0.162213954,-0.046364184,-0.052187735,0.045224528,-0.153180076,-0.032552149,-0.014167072,0.020617447,-0.118250446,-0.030833394,-0.010487043,-0.092114381,0.099394231,0.004460388,0.04942442,-0.003671743,-0.014177352,0.017012645,0.038687781
2010 Q2,1.438427,1.431244756,-0.077008984,0.068592949,0.081182347,-0.118004806,-0.031955185,-0.031659147,-0.065455925,-0.084071284,0.01661882,-0.077919914,0.069404326,0.082142643,-0.119400669,-0.032333178,-0.032033639,-0.066230195,0.038566394,-0.043745092,-0.085065752,0.017368507,0.008598136,-0.00111278,-0.087758784,0.078167942,0.092514713,-0.059458617,-0.104178289,0.034481531,-0.036415857,-0.065566463,0.032852602,-0.001391301,-0.012117815,-0.056629238,-0.002655351,-0.053951694,0.074248794,-0.049268741,-0.00125329,0.032282498,0.043428458,-0.015581977,-0.017099029,0.015973496,0.003738306,-0.095806921,0.009683814
